iter	Logloss
0	0.6416693086
1	0.593932278
2	0.5504308715
3	0.5112302142
4	0.4757570282
5	0.4439083521
6	0.4144562167
7	0.3884380202
8	0.3648387162
9	0.3443569006
10	0.325126765
11	0.3074317509
12	0.2913172831
13	0.2767939044
14	0.2641220783
15	0.2524592779
16	0.2416079183
17	0.2318410336
18	0.2230050018
19	0.2151398543
20	0.2080604975
21	0.2015852397
22	0.1957610216
23	0.1900243538
24	0.1851294804
25	0.1807852101
26	0.1766096894
27	0.1728058968
28	0.1694752539
29	0.1663316333
30	0.16350004
31	0.1608349869
32	0.1584433934
33	0.1560403176
34	0.1540074956
35	0.1521042975
36	0.1503960059
37	0.1487841811
38	0.1473624503
39	0.1459234399
40	0.1446622571
41	0.1434163913
42	0.1423900012
43	0.1413549368
44	0.140363113
45	0.1393550605
46	0.1384830556
47	0.137756634
48	0.137026783
49	0.1363437802
50	0.1357685354
51	0.1351962902
52	0.1346479479
53	0.133998463
54	0.1334936424
55	0.1330662535
56	0.1326201925
57	0.1321842382
58	0.131925455
59	0.1315225336
60	0.1311804489
61	0.1308802142
62	0.1306143586
63	0.1303326864
64	0.1299848378
65	0.129689935
66	0.1294604931
67	0.1292428241
68	0.1290310117
69	0.1288402137
70	0.1286463898
71	0.1284268729
72	0.1282880229
73	0.1280890616
74	0.1279485592
75	0.1278110316
76	0.1275925484
77	0.1274391543
78	0.1272498304
79	0.1271143668
80	0.1270026479
81	0.1268671573
82	0.1267650088
83	0.1266122056
84	0.1265175166
85	0.1264232154
86	0.1262857508
87	0.1262035433
88	0.1261166245
89	0.1260109486
90	0.1259300218
91	0.1258128428
92	0.1256937152
93	0.1256077922
94	0.1255341523
95	0.1254452981
96	0.1253509912
97	0.1252696985
98	0.125172018
99	0.1250675371
100	0.1250034771
101	0.124895292
102	0.1248519273
103	0.1247934694
104	0.1247196942
105	0.1246911292
106	0.1246353781
107	0.124576235
108	0.1244327696
109	0.1243794331
110	0.1243031474
111	0.1241522272
112	0.1240705771
113	0.1239866598
114	0.1239683986
115	0.1238590574
116	0.1238095617
117	0.1237711252
118	0.1236834681
119	0.123617353
120	0.1235303527
121	0.1234890085
122	0.1234599509
123	0.1233969007
124	0.1233452718
125	0.1233452395
126	0.1233040764
127	0.1232663838
128	0.1232270253
129	0.1231942928
130	0.1231471331
131	0.1231063924
132	0.1230875647
133	0.1230246945
134	0.1229847801
135	0.1229243087
136	0.1228503612
137	0.1227892598
138	0.1227628146
139	0.1227212834
140	0.1227165261
141	0.122681224
142	0.1226656404
143	0.1226212158
144	0.1225925013
145	0.1225032527
146	0.1224563704
147	0.1224262294
148	0.1223913645
149	0.1223754581
150	0.1223396175
151	0.1222603052
152	0.1222056272
153	0.1221470092
154	0.1221005836
155	0.1220319245
156	0.1219575521
157	0.1219101642
158	0.1218465341
159	0.1217817287
160	0.1217628238
161	0.1217201533
162	0.1216689971
163	0.1216131401
164	0.1215519299
165	0.1214909711
166	0.1214549949
167	0.1213906149
168	0.1213462449
169	0.121328332
170	0.1212964912
171	0.1212619292
172	0.1212377339
173	0.1212046649
174	0.1211965621
175	0.1211599365
176	0.1211211673
177	0.1210742573
178	0.1210314882
179	0.1210036781
180	0.1209759396
181	0.1209501764
182	0.1208821649
183	0.1208340595
184	0.1208163611
185	0.1207725041
186	0.1207077738
187	0.1206782134
188	0.1206340469
189	0.1205909908
190	0.1204920224
191	0.1204223085
192	0.1203907172
193	0.1203522336
194	0.1202958974
195	0.1202500284
