iter	Passed	Remaining
0	3	3874
1	8	4423
2	13	4458
3	18	4490
4	21	4361
5	25	4167
6	29	4181
7	33	4158
8	37	4173
9	41	4070
10	45	4070
11	49	4081
12	53	4080
13	57	4055
14	61	4051
15	66	4075
16	71	4120
17	75	4133
18	80	4133
19	85	4165
20	88	4132
21	93	4136
22	97	4134
23	102	4148
24	106	4137
25	110	4131
26	114	4132
27	119	4142
28	123	4147
29	128	4152
30	133	4186
31	138	4184
32	142	4173
33	146	4170
34	151	4168
35	155	4164
36	159	4159
37	164	4158
38	167	4135
39	172	4133
40	176	4131
41	181	4133
42	185	4130
43	189	4124
44	194	4121
45	199	4137
46	203	4128
47	208	4127
48	212	4125
49	217	4129
50	221	4127
51	226	4123
52	230	4122
53	235	4123
54	239	4120
55	243	4110
56	248	4112
57	252	4108
58	255	4080
59	260	4077
60	264	4075
61	269	4071
62	273	4071
63	278	4068
64	282	4070
65	287	4074
66	293	4085
67	297	4079
68	302	4076
69	306	4072
70	310	4067
71	315	4064
72	319	4059
73	324	4056
74	329	4058
75	333	4059
76	339	4064
77	343	4060
78	347	4055
79	351	4046
80	356	4042
81	361	4043
82	365	4040
83	370	4039
84	375	4038
85	379	4033
86	384	4033
87	388	4028
88	393	4026
89	397	4023
90	402	4023
91	407	4022
92	412	4019
93	417	4022
94	421	4020
95	426	4016
96	431	4019
97	437	4027
98	442	4025
99	447	4023
100	451	4020
101	456	4018
102	460	4012
103	465	4008
104	470	4008
105	474	4001
106	479	4000
107	484	3998
108	488	3996
109	493	3993
110	498	3991
111	503	3991
112	508	3988
113	512	3985
114	517	3980
115	521	3975
116	526	3973
117	531	3971
118	536	3972
119	542	3975
120	547	3974
121	551	3969
122	555	3963
123	560	3961
124	565	3961
125	568	3945
126	573	3943
127	578	3939
128	582	3933
129	587	3934
130	592	3933
131	597	3930
132	602	3930
133	608	3933
134	614	3934
135	620	3940
136	625	3939
137	630	3937
138	635	3936
139	640	3934
140	644	3929
141	650	3929
142	655	3927
143	660	3926
144	665	3924
145	671	3926
146	676	3924
147	681	3922
148	686	3921
149	691	3917
150	696	3913
151	700	3908
152	704	3902
153	709	3897
154	714	3893
155	718	3887
156	723	3882
157	727	3877
158	731	3871
159	736	3866
160	740	3861
161	745	3854
162	750	3851
163	755	3849
164	760	3848
165	765	3846
166	770	3844
167	775	3840
168	780	3839
169	785	3836
170	791	3835
171	797	3838
172	802	3837
173	807	3833
174	812	3832
175	817	3828
176	822	3824
177	827	3822
178	832	3819
179	837	3817
180	842	3812
181	847	3809
182	852	3804
183	857	3801
184	862	3800
185	867	3798
186	873	3795
187	883	3814
188	888	3811
189	892	3806
190	897	3801
191	901	3795
192	906	3788
193	910	3782
194	914	3775
195	919	3769
196	923	3763
197	927	3757
198	931	3751
199	936	3746
200	941	3740
201	945	3735
202	949	3729
203	954	3725
204	959	3719
205	963	3714
206	968	3709
207	972	3704
208	978	3701
209	983	3699
210	988	3695
211	993	3692
212	998	3690
213	1003	3686
214	1009	3684
215	1014	3681
216	1019	3677
217	1023	3672
218	1029	3669
219	1034	3669
220	1040	3666
221	1045	3665
222	1050	3660
223	1055	3658
224	1061	3657
225	1067	3655
226	1072	3652
227	1077	3649
228	1083	3648
229	1089	3646
230	1094	3642
231	1099	3639
232	1104	3635
233	1110	3633
234	1115	3631
235	1121	3629
236	1126	3626
237	1131	3621
238	1136	3618
239	1141	3613
240	1146	3609
241	1150	3605
242	1156	3601
243	1167	3617
244	1175	3622
245	1183	3626
246	1188	3623
247	1193	3620
248	1200	3621
249	1206	3618
250	1210	3611
251	1214	3605
252	1218	3598
253	1223	3592
254	1227	3586
255	1231	3579
256	1236	3574
257	1240	3568
258	1245	3562
259	1249	3557
260	1254	3553
261	1259	3547
262	1264	3542
263	1268	3537
264	1272	3530
265	1277	3525
266	1283	3523
267	1287	3517
268	1292	3512
269	1297	3507
270	1301	3501
271	1305	3494
272	1309	3487
273	1313	3480
274	1318	3474
275	1322	3469
276	1327	3465
277	1333	3462
278	1337	3457
279	1342	3451
280	1346	3445
